C,0.149,0.153,0.086,0.084,0.087,0.096,0.082,0.08,0.09,0.086,0.1,0.087,977 [Test]
,0.09,0.095,0.089,0.086,0.086,0.095,0.082,0.08,0.088,0.086,0.101,0.088,900 [Ref]
,0.328,0.322,-0.016,-0.011,0.007,0.005,0,0.003,0.008,-0.003,-0.005,-0.008,Pathlength
,0.775,0.749,0.095,0.093,0.097,0.109,0.091,0.09,0.097,0.092,0.109,0.094,562
,2.361,2.324,-5.897,-8.415,13.472,21.84,?????,27.09,12.497,-33.264,-21.72,-11.316,Corrected [562]
D,0.178,0.153,0.15,0.114,0.152,0.152,0.157,0.15,0.162,0.159,0.154,0.158,977 [Test]
,0.116,0.093,0.09,0.092,0.09,0.087,0.098,0.088,0.103,0.1,0.094,0.099,900 [Ref]
,0.343,0.332,0.333,0.123,0.345,0.359,0.331,0.341,0.331,0.329,0.332,0.325,Pathlength
,0.429,0.394,3.022,1.45,0.956,2.713,2.558,0.378,0.405,0.45,0.392,0.35,562
,1.251,1.187,9.081,11.754,2.772,7.559,7.724,1.109,1.223,1.365,1.18,1.076,Corrected [562]
E,0.166,0.153,0.157,0.085,0.113,0.107,0.107,0.153,0.087,0.086,0.088,0.084,977 [Test]
,0.107,0.092,0.097,0.085,0.088,0.085,0.082,0.089,0.087,0.086,0.09,0.085,900 [Ref]
,0.326,0.338,0.331,-0.004,0.137,0.123,0.138,0.355,-0.002,-0.001,-0.008,-0.008,Pathlength
,0.253,0.229,2.717,0.093,1.411,1.287,1.656,0.088,0.095,0.092,0.097,0.093,562
,0.775,0.677,8.206,-23.837,10.327,10.482,11.97,0.247,-56.94,-83.25,-11.628,-11.172,Corrected [562]
F,0.149,0.152,0.083,0.082,0.083,0.084,0.08,0.085,0.084,0.09,0.084,0.079,977 [Test]
,0.091,0.093,0.085,0.083,0.082,0.085,0.08,0.084,0.084,0.091,0.085,0.081,900 [Ref]
,0.326,0.327,-0.007,-0.004,0.008,-0.004,0.002,0.006,-0.001,-0.006,-0.008,-0.011,Pathlength
,0.159,0.155,0.09,0.093,0.091,0.094,0.09,0.095,0.092,0.098,0.092,0.09,562
,0.49,0.474,-13.485,-20.993,10.968,-24.069,40.32,17.082,-82.98,-15.971,-11.016,-8.498,Corrected [562]
G,0.152,0.15,0.083,0.16,0.08,0.083,0.084,0.083,0.084,0.082,0.082,0.083,977 [Test]
,0.092,0.093,0.085,0.096,0.081,0.083,0.083,0.082,0.082,0.084,0.085,0.084,900 [Ref]
,0.334,0.322,-0.014,0.353,-0.005,0.001,0.004,0.002,0.009,-0.007,-0.016,-0.002,Pathlength
,0.145,0.146,0.091,1.87,0.091,0.09,0.092,0.092,0.092,0.09,0.09,0.09,562
,0.435,0.454,-6.574,5.292,-18.12,162.18,23.734,55.5,9.731,-12.517,-5.792,-54.3,Corrected [562]
H,0.157,0.143,0.085,0.081,0.147,0.147,0.147,0.086,0.079,0.086,0.083,0.082,977 [Test]
,0.095,0.086,0.088,0.082,0.088,0.087,0.087,0.085,0.081,0.088,0.084,0.081,900 [Ref]
,0.344,0.317,-0.014,-0.007,0.329,0.333,0.333,0.004,-0.008,-0.013,-0.008,0.006,Pathlength
,0.101,0.091,0.093,0.091,1.578,1.508,2.002,0.093,0.089,0.094,0.088,0.089,562
,0.293,0.286,-6.682,-12.669,4.79,4.525,6.007,23.889,-11.443,-7.043,-10.596,15.948,Corrected [562]
