,Cation Concentration Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
,,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium
1,CondBlank1,1,n.a.,n.a.,n.a.,n.a.,n.a.,0.11
2,CondBlank2,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,CondBlank3,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,C-3200x,1,0.02,0.18,n.a.,n.a.,n.a.,0.17
5,C-1600x,1,0.04,0.24,n.a.,0.1,0.06,0.34
6,C-400x,1,0.14,0.63,0.21,1.1,0.57,1.37
7,C-200x,1,0.27,1.14,1.67,2.43,1.23,2.66
8,C-20x,1,2.5,10.15,17.11,25.57,12.74,25.35
9,C-5x,1,9.93,38.95,47.7,100.23,50.11,98.92
10,C-2x,1,25.03,100.4,126.24,249.85,124.93,250.39
11,Blank1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,Blank2,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
131,CKSTD10_C-200x,1,0.27,1.14,1.6,2.4,1.24,2.78
132,Blank11,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
133,Redox_011,1,n.a.,15.3,10.99,n.a.,4.39,1.31
134,Redox_012,1,n.a.,15.57,10.91,11.92,2.07,1.29
135,Redox_013,1,n.a.,28.49,11.63,n.a.,3.47,1.5
136,Redox_014,1,n.a.,15.36,11,12.4,1.89,1.16
137,Redox_015,1,n.a.,16.54,11.06,10.8,2.72,1.62
138,Redox_process_blank,1,n.a.,0.21,8.55,n.a.,0.09,0.14
139,CKSTD11_C-200x,1,0.26,1.13,1.6,2.4,1.23,2.77
140,Blank12,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
141,Blank13,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
142,Blank14,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
143,Blank15,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
144,CKSTD12_C-200x,1,0.26,1.13,1.58,2.36,1.22,2.69
145,Blank16,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
154,CKSTD13_C-200x,1,0.27,1.14,1.61,2.4,1.23,2.75
155,Blank17,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
156,redox_031,1,n.a.,3.33,8.25,n.a.,1.22,0.61
157,redox_032,1,n.a.,5.51,8.34,n.a.,1.21,0.77
158,redox_033,1,n.a.,4.86,8.09,3.12,0.58,0.64
159,redox_034,1,n.a.,5.75,8.79,n.a.,1.04,0.73
160,redox_035,1,n.a.,5.27,8.56,n.a.,1.15,0.7
161,redox_036,1,n.a.,5.73,8.38,n.a.,0.59,0.69
162,redox_037,1,n.a.,5.23,8.91,n.a.,0.72,0.75
163,redox_038,1,n.a.,4.64,8.88,n.a.,0.56,0.52
164,redox_039,1,n.a.,5.07,8.38,2.18,0.84,0.83
165,redox_040,1,n.a.,11,9.13,1.63,0.69,0.93
166,CKSTD14_C-200x,1,0.27,1.13,1.56,2.37,1.23,2.82
167,Blank18,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
168,redox_041,1,n.a.,17.97,8.16,13.63,6.03,3.99
169,redox_043,1,n.a.,14.62,8.74,13.13,5.36,3.82
170,redox_044,1,n.a.,16.41,9.13,12.38,4.78,3.1
171,redox_045,1,n.a.,17.01,9.42,9.62,4.89,2.82
172,redox_2wk_c_blank,1,n.a.,1.44,8.4,n.a.,n.a.,0.11
173,redox_046,1,n.a.,1.35,8.85,n.a.,1.06,0.54
174,redox_047,1,n.a.,15.66,9.29,n.a.,0.65,0.87
175,redox_048,1,n.a.,13.94,8.87,1.89,0.32,0.85
176,redox_049,1,n.a.,5.99,9.03,n.a.,0.97,0.93
177,redox_050,1,n.a.,1.75,8.68,n.a.,1.01,0.66
178,redox_051,1,n.a.,1.38,8.74,2.23,0.27,0.26
179,CKSTD15_C-200x,1,0.26,1.13,1.54,2.37,1.24,2.87
180,Blank19,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
181,redox_052,1,n.a.,6.71,8.66,n.a.,0.45,0.32
182,redox_053,1,n.a.,10.41,8.75,n.a.,0.28,0.22
183,redox_054,1,n.a.,1.93,8.49,2.35,0.38,0.36
184,redox_055,1,n.a.,3.3,8.45,1.91,0.31,0.48
185,redox_056,1,n.a.,14.2,11.41,n.a.,5.63,12.18
186,redox_057,1,n.a.,14.33,11.74,n.a.,5.87,10.66
187,redox_058,1,n.a.,13.89,11.55,14.57,7.8,5.77
188,redox_059,1,n.a.,14.45,11.38,n.a.,5.68,12.72
189,redox_060,1,n.a.,14.53,11.92,17.79,14.87,12.22
190,CKSTD16_C-200x,1,0.27,1.13,1.57,2.38,1.24,2.85
191,Blank20,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,,Sum:,42.233,1597.889,658.926,725.029,573.004,1964.56
,,Average:,1.689,9.568,8.786,5.292,3.473,11.625
,,Rel.Std.Dev:,310.69%,131.09%,171.56%,433.15%,307.06%,191.60%
