"sample_label","site","treatment","timepoint","location","replicate"
"redox_001","GCW","water","time-zero","upland-A","1"
"redox_002","GCW","water","time-zero","upland-A","2"
"redox_003","GCW","water","time-zero","upland-A","3"
"redox_004","GCW","water","time-zero","upland-A","4"
"redox_005","GCW","water","time-zero","upland-A","5"
"redox_006","GCW","water","time-zero","upland-B","1"
"redox_007","GCW","water","time-zero","upland-B","2"
"redox_008","GCW","water","time-zero","upland-B","3"
"redox_009","GCW","water","time-zero","upland-B","4"
"redox_010","GCW","water","time-zero","upland-B","5"
"redox_011","GCW","water","time-zero","transition-A","1"
"redox_012","GCW","water","time-zero","transition-A","2"
"redox_013","GCW","water","time-zero","transition-A","3"
"redox_014","GCW","water","time-zero","transition-A","4"
"redox_015","GCW","water","time-zero","transition-A","5"
"redox_016","GCW","water","12-hr","upland-A","1"
"redox_017","GCW","water","12-hr","upland-A","2"
"redox_018","GCW","water","12-hr","upland-A","3"
"redox_019","GCW","water","12-hr","upland-A","4"
"redox_020","GCW","water","12-hr","upland-A","5"
"redox_021","GCW","water","12-hr","upland-B","1"
"redox_022","GCW","water","12-hr","upland-B","2"
"redox_023","GCW","water","12-hr","upland-B","3"
"redox_024","GCW","water","12-hr","upland-B","4"
"redox_025","GCW","water","12-hr","upland-B","5"
"redox_026","GCW","water","12-hr","transition-A","1"
"redox_027","GCW","water","12-hr","transition-A","2"
"redox_028","GCW","water","12-hr","transition-A","3"
"redox_029","GCW","water","12-hr","transition-A","4"
"redox_030","GCW","water","12-hr","transition-A","5"
"redox_031","GCW","water","24-hr","upland-A","1"
"redox_032","GCW","water","24-hr","upland-A","2"
"redox_033","GCW","water","24-hr","upland-A","3"
"redox_034","GCW","water","24-hr","upland-A","4"
"redox_035","GCW","water","24-hr","upland-A","5"
"redox_036","GCW","water","24-hr","upland-B","1"
"redox_037","GCW","water","24-hr","upland-B","2"
"redox_038","GCW","water","24-hr","upland-B","3"
"redox_039","GCW","water","24-hr","upland-B","4"
"redox_040","GCW","water","24-hr","upland-B","5"
"redox_041","GCW","water","24-hr","transition-A","1"
"redox_042","GCW","water","24-hr","transition-A","2"
"redox_043","GCW","water","24-hr","transition-A","3"
"redox_044","GCW","water","24-hr","transition-A","4"
"redox_045","GCW","water","24-hr","transition-A","5"
"redox_046","GCW","water","2-wk","upland-A","1"
"redox_047","GCW","water","2-wk","upland-A","2"
"redox_048","GCW","water","2-wk","upland-A","3"
"redox_049","GCW","water","2-wk","upland-A","4"
"redox_050","GCW","water","2-wk","upland-A","5"
"redox_051","GCW","water","2-wk","upland-B","1"
"redox_052","GCW","water","2-wk","upland-B","2"
"redox_053","GCW","water","2-wk","upland-B","3"
"redox_054","GCW","water","2-wk","upland-B","4"
"redox_055","GCW","water","2-wk","upland-B","5"
"redox_056","GCW","water","2-wk","transition-A","1"
"redox_057","GCW","water","2-wk","transition-A","2"
"redox_058","GCW","water","2-wk","transition-A","3"
"redox_059","GCW","water","2-wk","transition-A","4"
"redox_060","GCW","water","2-wk","transition-A","5"
"redox_061","GCW","carbon","time-zero","upland-A","1"
"redox_062","GCW","carbon","time-zero","upland-A","2"
"redox_063","GCW","carbon","time-zero","upland-A","3"
"redox_064","GCW","carbon","time-zero","upland-A","4"
"redox_065","GCW","carbon","time-zero","upland-A","5"
"redox_066","GCW","carbon","time-zero","upland-B","1"
"redox_067","GCW","carbon","time-zero","upland-B","2"
"redox_068","GCW","carbon","time-zero","upland-B","3"
"redox_069","GCW","carbon","time-zero","upland-B","4"
"redox_070","GCW","carbon","time-zero","upland-B","5"
"redox_071","GCW","carbon","time-zero","transition-A","1"
"redox_072","GCW","carbon","time-zero","transition-A","2"
"redox_073","GCW","carbon","time-zero","transition-A","3"
"redox_074","GCW","carbon","time-zero","transition-A","4"
"redox_075","GCW","carbon","time-zero","transition-A","5"
"redox_076","GCW","carbon","12-hr","upland-A","1"
"redox_077","GCW","carbon","12-hr","upland-A","2"
"redox_078","GCW","carbon","12-hr","upland-A","3"
"redox_079","GCW","carbon","12-hr","upland-A","4"
"redox_080","GCW","carbon","12-hr","upland-A","5"
"redox_081","GCW","carbon","12-hr","upland-B","1"
"redox_082","GCW","carbon","12-hr","upland-B","2"
"redox_083","GCW","carbon","12-hr","upland-B","3"
"redox_084","GCW","carbon","12-hr","upland-B","4"
"redox_085","GCW","carbon","12-hr","upland-B","5"
"redox_086","GCW","carbon","12-hr","transition-A","1"
"redox_087","GCW","carbon","12-hr","transition-A","2"
"redox_088","GCW","carbon","12-hr","transition-A","3"
"redox_089","GCW","carbon","12-hr","transition-A","4"
"redox_090","GCW","carbon","12-hr","transition-A","5"
"redox_091","GCW","carbon","24-hr","upland-A","1"
"redox_092","GCW","carbon","24-hr","upland-A","2"
"redox_093","GCW","carbon","24-hr","upland-A","3"
"redox_094","GCW","carbon","24-hr","upland-A","4"
"redox_095","GCW","carbon","24-hr","upland-A","5"
"redox_096","GCW","carbon","24-hr","upland-B","1"
"redox_097","GCW","carbon","24-hr","upland-B","2"
"redox_098","GCW","carbon","24-hr","upland-B","3"
"redox_099","GCW","carbon","24-hr","upland-B","4"
"redox_100","GCW","carbon","24-hr","upland-B","5"
"redox_101","GCW","carbon","24-hr","transition-A","1"
"redox_102","GCW","carbon","24-hr","transition-A","2"
"redox_103","GCW","carbon","24-hr","transition-A","3"
"redox_104","GCW","carbon","24-hr","transition-A","4"
"redox_105","GCW","carbon","24-hr","transition-A","5"
"redox_106","GCW","carbon","2-wk","upland-A","1"
"redox_107","GCW","carbon","2-wk","upland-A","2"
"redox_108","GCW","carbon","2-wk","upland-A","3"
"redox_109","GCW","carbon","2-wk","upland-A","4"
"redox_110","GCW","carbon","2-wk","upland-A","5"
"redox_111","GCW","carbon","2-wk","upland-B","1"
"redox_112","GCW","carbon","2-wk","upland-B","2"
"redox_113","GCW","carbon","2-wk","upland-B","3"
"redox_114","GCW","carbon","2-wk","upland-B","4"
"redox_115","GCW","carbon","2-wk","upland-B","5"
"redox_116","GCW","carbon","2-wk","transition-A","1"
"redox_117","GCW","carbon","2-wk","transition-A","2"
"redox_118","GCW","carbon","2-wk","transition-A","3"
"redox_119","GCW","carbon","2-wk","transition-A","4"
"redox_120","GCW","carbon","2-wk","transition-A","5"
"redox_121","GCW","nitrogen","time-zero","upland-A","1"
"redox_122","GCW","nitrogen","time-zero","upland-A","2"
"redox_123","GCW","nitrogen","time-zero","upland-A","3"
"redox_124","GCW","nitrogen","time-zero","upland-A","4"
"redox_125","GCW","nitrogen","time-zero","upland-A","5"
"redox_126","GCW","nitrogen","time-zero","upland-B","1"
"redox_127","GCW","nitrogen","time-zero","upland-B","2"
"redox_128","GCW","nitrogen","time-zero","upland-B","3"
"redox_129","GCW","nitrogen","time-zero","upland-B","4"
"redox_130","GCW","nitrogen","time-zero","upland-B","5"
"redox_131","GCW","nitrogen","time-zero","transition-A","1"
"redox_132","GCW","nitrogen","time-zero","transition-A","2"
"redox_133","GCW","nitrogen","time-zero","transition-A","3"
"redox_134","GCW","nitrogen","time-zero","transition-A","4"
"redox_135","GCW","nitrogen","time-zero","transition-A","5"
"redox_136","GCW","nitrogen","12-hr","upland-A","1"
"redox_137","GCW","nitrogen","12-hr","upland-A","2"
"redox_138","GCW","nitrogen","12-hr","upland-A","3"
"redox_139","GCW","nitrogen","12-hr","upland-A","4"
"redox_140","GCW","nitrogen","12-hr","upland-A","5"
"redox_141","GCW","nitrogen","12-hr","upland-B","1"
"redox_142","GCW","nitrogen","12-hr","upland-B","2"
"redox_143","GCW","nitrogen","12-hr","upland-B","3"
"redox_144","GCW","nitrogen","12-hr","upland-B","4"
"redox_145","GCW","nitrogen","12-hr","upland-B","5"
"redox_146","GCW","nitrogen","12-hr","transition-A","1"
"redox_147","GCW","nitrogen","12-hr","transition-A","2"
"redox_148","GCW","nitrogen","12-hr","transition-A","3"
"redox_149","GCW","nitrogen","12-hr","transition-A","4"
"redox_150","GCW","nitrogen","12-hr","transition-A","5"
"redox_151","GCW","nitrogen","24-hr","upland-A","1"
"redox_152","GCW","nitrogen","24-hr","upland-A","2"
"redox_153","GCW","nitrogen","24-hr","upland-A","3"
"redox_154","GCW","nitrogen","24-hr","upland-A","4"
"redox_155","GCW","nitrogen","24-hr","upland-A","5"
"redox_156","GCW","nitrogen","24-hr","upland-B","1"
"redox_157","GCW","nitrogen","24-hr","upland-B","2"
"redox_158","GCW","nitrogen","24-hr","upland-B","3"
"redox_159","GCW","nitrogen","24-hr","upland-B","4"
"redox_160","GCW","nitrogen","24-hr","upland-B","5"
"redox_161","GCW","nitrogen","24-hr","transition-A","1"
"redox_162","GCW","nitrogen","24-hr","transition-A","2"
"redox_163","GCW","nitrogen","24-hr","transition-A","3"
"redox_164","GCW","nitrogen","24-hr","transition-A","4"
"redox_165","GCW","nitrogen","24-hr","transition-A","5"
"redox_166","GCW","nitrogen","2-wk","upland-A","1"
"redox_167","GCW","nitrogen","2-wk","upland-A","2"
"redox_168","GCW","nitrogen","2-wk","upland-A","3"
"redox_169","GCW","nitrogen","2-wk","upland-A","4"
"redox_170","GCW","nitrogen","2-wk","upland-A","5"
"redox_171","GCW","nitrogen","2-wk","upland-B","1"
"redox_172","GCW","nitrogen","2-wk","upland-B","2"
"redox_173","GCW","nitrogen","2-wk","upland-B","3"
"redox_174","GCW","nitrogen","2-wk","upland-B","4"
"redox_175","GCW","nitrogen","2-wk","upland-B","5"
"redox_176","GCW","nitrogen","2-wk","transition-A","1"
"redox_177","GCW","nitrogen","2-wk","transition-A","2"
"redox_178","GCW","nitrogen","2-wk","transition-A","3"
"redox_179","GCW","nitrogen","2-wk","transition-A","4"
"redox_180","GCW","nitrogen","2-wk","transition-A","5"
"redox_181","GCW","sulfur","time-zero","upland-A","1"
"redox_182","GCW","sulfur","time-zero","upland-A","2"
"redox_183","GCW","sulfur","time-zero","upland-A","3"
"redox_184","GCW","sulfur","time-zero","upland-A","4"
"redox_185","GCW","sulfur","time-zero","upland-A","5"
"redox_186","GCW","sulfur","time-zero","upland-B","1"
"redox_187","GCW","sulfur","time-zero","upland-B","2"
"redox_188","GCW","sulfur","time-zero","upland-B","3"
"redox_189","GCW","sulfur","time-zero","upland-B","4"
"redox_190","GCW","sulfur","time-zero","upland-B","5"
"redox_191","GCW","sulfur","time-zero","transition-A","1"
"redox_192","GCW","sulfur","time-zero","transition-A","2"
"redox_193","GCW","sulfur","time-zero","transition-A","3"
"redox_194","GCW","sulfur","time-zero","transition-A","4"
