C,0.146,0.148,0.083,0.082,0.078,0.081,0.079,0.078,0.082,0.083,0.083,0.083,977 [Test]
,0.088,0.089,0.082,0.081,0.082,0.084,0.082,0.08,0.08,0.082,0.083,0.084,900 [Ref]
,0.322,0.325,0.003,0.004,-0.022,-0.013,-0.013,-0.014,0.011,0.007,0.001,-0.004,Pathlength
,0.892,0.672,0.09,0.089,0.09,0.09,0.089,0.088,0.09,0.09,0.089,0.09,562
,2.774,2.068,32.4,20.115,-4.135,-7.075,-6.668,-6.358,8.082,13.5,80.19,-20.25,Corrected [562]
D,0.148,0.15,0.108,0.108,0.105,0.103,0.104,0.108,0.108,0.108,0.107,0.105,977 [Test]
,0.089,0.089,0.084,0.084,0.083,0.081,0.081,0.085,0.084,0.084,0.084,0.083,900 [Ref]
,0.325,0.341,0.133,0.133,0.119,0.122,0.13,0.129,0.136,0.132,0.127,0.124,Pathlength
,0.435,0.353,1.457,1.466,1.346,1.442,1.463,1.027,1.048,1.177,0.997,0.907,562
,1.337,1.034,10.973,11.037,11.321,11.855,11.257,7.971,7.731,8.902,7.837,7.288,Corrected [562]
E,0.148,0.15,0.107,0.084,0.103,0.102,0.102,0.151,0.084,0.083,0.083,0.083,977 [Test]
,0.089,0.089,0.084,0.084,0.083,0.079,0.081,0.088,0.085,0.083,0.084,0.083,900 [Ref]
,0.328,0.34,0.126,-0.004,0.112,0.127,0.118,0.346,-0.003,-0.003,-0.005,-0.003,Pathlength
,0.248,0.223,1.558,0.091,1.437,1.577,1.586,0.089,0.091,0.09,0.09,0.09,562
,0.756,0.656,12.409,-23.426,12.807,12.395,13.405,0.257,-32.652,-26.97,-18.1,-27.06,Corrected [562]
F,0.149,0.151,0.084,0.082,0.079,0.081,0.079,0.08,0.083,0.082,0.082,0.082,977 [Test]
,0.091,0.091,0.084,0.082,0.079,0.08,0.08,0.08,0.082,0.082,0.084,0.083,900 [Ref]
,0.322,0.335,-0.002,-0.001,0,0.004,-0.004,0.001,0.006,-0.001,-0.007,-0.006,Pathlength
,0.169,0.153,0.09,0.092,0.089,0.089,0.089,0.09,0.09,0.09,0.089,0.091,562
,0.524,0.456,-54.12,-82.53,?????,19.98,-22.86,161.28,16.236,-161.28,-12.365,-16.308,Corrected [562]
G,0.146,0.146,0.15,0.146,0.144,0.148,0.148,0.147,0.15,0.149,0.148,0.149,977 [Test]
,0.088,0.086,0.09,0.086,0.084,0.089,0.088,0.086,0.088,0.092,0.089,0.088,900 [Ref]
,0.324,0.33,0.329,0.338,0.331,0.332,0.328,0.343,0.341,0.313,0.329,0.338,Pathlength
,0.122,0.117,1.708,1.706,1.604,1.751,1.722,1.194,1.19,1.381,1.17,1.133,562
,0.377,0.356,5.184,5.041,4.852,5.278,5.246,3.478,3.489,4.409,3.558,3.356,Corrected [562]
H,0.142,0.146,0.156,0.082,0.153,0.15,0.149,0.08,0.079,0.092,0.08,0.081,977 [Test]
,0.086,0.087,0.096,0.082,0.092,0.089,0.089,0.082,0.08,0.092,0.082,0.081,900 [Ref]
,0.314,0.327,0.335,0.003,0.337,0.335,0.336,-0.01,-0.003,-0.003,-0.011,0.003,Pathlength
,0.089,0.089,1.98,0.089,2.031,1.97,1.984,0.088,0.088,0.097,0.088,0.088,562
,0.283,0.272,5.91,26.73,6.033,5.88,5.912,-8.84,-31.608,-35.028,-7.956,26.37,Corrected [562]
